ref_code,obs_id,batch,sample_type,reads_name,seq_run_ro_crate_fname,forward_read_fname,backward_read_fname,run_status,version,date_started,system_run,output_loc,output_size
EMOBON00084,BPNS,001,sediment,DBH_AAANOSDA_1_HMNJKDSX3.UDI248,,DBH_AAANOSDA_1_1_HMNJKDSX3.UDI248_clean.fastq.gz,,COMPLETED,1.0,25/09/2023,REDI,,
EMOBON00085,BPNS,001,sediment,DBH_AAAOOSDA_1_HMNJKDSX3.UDI260,,DBH_AAAOOSDA_1_1_HMNJKDSX3.UDI260_clean.fastq.gz,,COMPLETED,1.0,02/10/2023,REDI,,7.7
EMOBON00087,BPNS,001,sediment,DBH_AAAIOSDA_1_HMNJKDSX3.UDI224,DBH_AAAIOSDA_1_HMNJKDSX3.UDI224.zip,DBH_AAAIOSDA_1_1_HMNJKDSX3.UDI224_clean.fastq.gz,DBH_AAAIOSDA_1_2_HMNJKDSX3.UDI224_clean.fastq.gz,COMPLETED,1.0,01/06/2023,HCMR-HPC,HCMR-HPC,12.0
EMOBON00094,NRMCB,001,sediment,DBH_AAACOSDA_1_HWLTKDRXY.UDI211,,DBH_AAACOSDA_1_1_HWLTKDRXY.UDI211_clean.fastq.gz,,COMPLETED,1.0,18/07/2023,REDI,,19.0
EMOBON00095,NRMCB,001,sediment,DBH_AAAFOSDA_1_HMNJKDSX3.UDI283,,DBH_AAAFOSDA_1_1_HMNJKDSX3.UDI283_clean.fastq.gz,,COMPLETED,1.0,11/08/2023,REDI,,9.3
EMOBON00097,NRMCB,001,sediment,DBH_AAAGOSDA_1_HMNJKDSX3.UDI200,,DBH_AAAGOSDA_1_1_HMNJKDSX3.UDI200_clean.fastq.gz,,COMPLETED,1.0,18/08/2023,REDI,,9.8
EMOBON00098,NRMCB,001,sediment,DBH_AAAHOSDA_1_HMNJKDSX3.UDI212,,DBH_AAAHOSDA_1_1_HMNJKDSX3.UDI212_clean.fastq.gz,,COMPLETED,1.0,25/08/2023,REDI,,10.0
EMOBON00099,NRMCB,001,sediment_blank,DBH_AAAEOSDA_4_HMNJKDSX3.UDI204,,,,,,,,,
EMOBON00001,OOB,001,sediment,DBH_AAAAOSDA_1_HWLTKDRXY.UDI235,,DBH_AAAAOSDA_1_1_HWLTKDRXY.UDI235_clean.fastq.gz,,COMPLETED,1.0,30/06/2023,REDI,,13.0
EMOBON00092,RFormosa,001,sediment,DBH_AAALOSDA_1_HMNJKDSX3.UDI236,,DBH_AAALOSDA_1_1_HMNJKDSX3.UDI236_clean.fastq.gz,,COMPLETED,1.0,31/08/2023,REDI,,11.0
